epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,8041.4,0.86259,0.62143,1.29527,0.92011,0.92413,0.95143,0.67059,1.09751,0.4749,1.43029,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954
33,8224.98,0.86262,0.61871,1.28868,0.92733,0.92472,0.95252,0.64589,1.19484,0.49454,1.53813,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888
34,8412.15,0.86681,0.62466,1.293,0.92109,0.9276,0.95448,0.69764,1.03256,0.46808,1.38406,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
35,8597.48,0.87399,0.62101,1.29941,0.93011,0.92497,0.9634,0.679,1.09022,0.47727,1.41565,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756
36,8783.12,0.85669,0.6183,1.29102,0.93114,0.92187,0.95473,0.69395,1.01626,0.46771,1.38899,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
37,8969.3,0.85025,0.6037,1.28189,0.93044,0.92168,0.95769,0.69432,1.03158,0.47955,1.38091,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
38,9153.45,0.84916,0.61827,1.28424,0.93828,0.91043,0.9643,0.68567,1.09098,0.4718,1.42673,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558
39,9337.14,0.83571,0.6041,1.27248,0.94007,0.92088,0.96441,0.70736,1.00222,0.44804,1.36039,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492
40,9520.93,0.83662,0.6105,1.27296,0.92937,0.92644,0.96411,0.69451,1.06438,0.45159,1.4085,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
41,9706.96,0.83602,0.59884,1.26937,0.93297,0.91667,0.95366,0.67302,1.08642,0.4663,1.44792,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
42,9895.31,0.8347,0.59933,1.26763,0.9304,0.93641,0.96332,0.69798,1.05107,0.44543,1.38895,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294
43,10081.4,0.83326,0.59614,1.27038,0.93892,0.92008,0.96361,0.67634,1.10053,0.46418,1.44914,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
44,10267.1,0.82465,0.59293,1.26522,0.93237,0.9227,0.9645,0.70684,0.99662,0.43958,1.3519,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162
45,10454.6,0.828,0.58981,1.26983,0.91505,0.94063,0.96324,0.70819,1.0006,0.43627,1.36007,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096
46,10641.5,0.81896,0.57859,1.25572,0.93326,0.91969,0.95899,0.71652,0.97336,0.43415,1.33083,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
47,10825.5,0.81406,0.58194,1.25572,0.90611,0.94091,0.95568,0.70391,1.02254,0.44626,1.378,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964
