epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,6050.44,0.91117,0.68516,1.34376,0.86356,0.87122,0.88901,0.68781,0.88133,0.53431,1.40664,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954
33,6239.22,0.90918,0.66521,1.33581,0.83481,0.90355,0.88929,0.68504,0.90041,0.52142,1.41386,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888
34,6427.6,0.90746,0.65818,1.34415,0.87546,0.86959,0.89708,0.68896,0.89349,0.50785,1.40783,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
35,6615.14,0.89407,0.65822,1.33684,0.87576,0.87796,0.891,0.69299,0.8792,0.49696,1.39477,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756
36,6804.18,0.89186,0.65031,1.33121,0.8414,0.88933,0.8906,0.68873,0.8602,0.51087,1.38992,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
37,6991.87,0.89945,0.65735,1.34124,0.84631,0.8903,0.88907,0.68441,0.87424,0.50726,1.40044,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
38,7180.64,0.89495,0.65069,1.33083,0.85239,0.8823,0.89314,0.69789,0.86711,0.50036,1.40146,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558
39,7369.77,0.90048,0.64929,1.34385,0.87924,0.87321,0.8973,0.69981,0.87513,0.48139,1.38737,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492
40,7559.46,0.88644,0.63918,1.32551,0.86576,0.87324,0.89503,0.69611,0.86548,0.50254,1.40192,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
41,7742,0.89577,0.6328,1.33389,0.87446,0.88317,0.89586,0.69634,0.87565,0.49225,1.39605,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
42,7922.56,0.88113,0.62704,1.32634,0.88793,0.87403,0.89857,0.69404,0.90011,0.4904,1.41479,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294
43,8111.04,0.88489,0.63124,1.32768,0.87621,0.87388,0.89636,0.70128,0.85198,0.49814,1.38647,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
44,8301.36,0.87295,0.60976,1.3183,0.85807,0.89392,0.90164,0.70064,0.86751,0.48855,1.39082,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162
45,8491.56,0.88372,0.63003,1.32367,0.89938,0.87498,0.90407,0.70083,0.88345,0.49608,1.39338,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096
46,8680.93,0.87715,0.61379,1.31611,0.87599,0.88459,0.90255,0.70781,0.8579,0.48071,1.38084,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
47,8870.54,0.87609,0.6146,1.31708,0.8799,0.8901,0.90777,0.70952,0.85452,0.47132,1.37695,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964
48,9060.17,0.86828,0.60479,1.31499,0.88538,0.87905,0.90701,0.70729,0.84191,0.47395,1.38616,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898
49,9249.59,0.87853,0.61946,1.32229,0.87431,0.89202,0.90109,0.71046,0.85845,0.4822,1.37971,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
50,9438.98,0.87555,0.60982,1.31527,0.85346,0.8905,0.89873,0.70188,0.84972,0.49523,1.38801,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766
51,9627.99,0.86393,0.60601,1.30646,0.87491,0.8844,0.89568,0.69926,0.84857,0.47851,1.38417,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
52,9817.12,0.86781,0.60994,1.30248,0.87541,0.89226,0.89914,0.70338,0.84647,0.48427,1.38658,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
53,10005.9,0.87055,0.60269,1.31121,0.88693,0.88627,0.90686,0.70969,0.84665,0.46863,1.37426,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568
54,10194.8,0.86973,0.60231,1.31036,0.88127,0.88308,0.90119,0.71143,0.839,0.47604,1.37287,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502
