epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,6477.47,0.85497,0.60957,1.27882,0.93199,0.94202,0.96665,0.7137,0.99169,0.43858,1.37268,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954
33,6674.67,0.84755,0.6063,1.27193,0.92362,0.94826,0.9608,0.73602,0.90588,0.43458,1.309,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888
34,6869.1,0.83414,0.59634,1.26317,0.92927,0.93972,0.96101,0.72498,0.94532,0.43331,1.32529,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
35,7063.04,0.82714,0.59249,1.26137,0.93112,0.94213,0.96081,0.70447,1.01236,0.45066,1.38558,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756
36,7258.05,0.82196,0.60373,1.25607,0.92916,0.94612,0.96831,0.69048,1.10238,0.47642,1.46614,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
37,7453.18,0.82879,0.58467,1.25372,0.92753,0.94441,0.96438,0.72507,0.95641,0.44112,1.32628,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
38,7647.25,0.81744,0.5861,1.24965,0.93061,0.94991,0.96384,0.70393,1.02541,0.4428,1.38436,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558
39,7840.64,0.8179,0.57987,1.25056,0.93443,0.93805,0.9666,0.72405,0.96244,0.44097,1.3352,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492
40,8035.02,0.81676,0.5846,1.24572,0.93786,0.94515,0.96789,0.70769,1.01358,0.42903,1.38564,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
41,8229.89,0.81452,0.5773,1.24772,0.9371,0.94318,0.96675,0.68769,1.07332,0.45402,1.43712,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
42,8426.03,0.81342,0.58164,1.25074,0.92992,0.95124,0.96673,0.71232,0.99934,0.4274,1.37478,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294
43,8621.21,0.80722,0.56592,1.24877,0.92628,0.93924,0.96248,0.69954,1.02847,0.44568,1.39298,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
44,8820.22,0.80887,0.57655,1.24697,0.92893,0.93085,0.96246,0.6947,1.06059,0.45691,1.41938,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162
45,9018.34,0.80471,0.5614,1.24469,0.92744,0.94962,0.96656,0.72855,0.95218,0.42434,1.34389,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096
46,9222.11,0.80996,0.56135,1.24221,0.92717,0.95158,0.96357,0.73317,0.92794,0.43142,1.31825,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
47,9417.33,0.79348,0.55917,1.23484,0.91836,0.94695,0.96555,0.68724,1.09635,0.4728,1.44347,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964
48,9611.6,0.79811,0.56512,1.23577,0.9216,0.94447,0.96287,0.72801,0.95605,0.43318,1.33271,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898
49,9808.88,0.78744,0.55811,1.23551,0.9296,0.94817,0.96449,0.71104,1.00222,0.42518,1.38297,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
