epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,6084.52,0.97653,1.46033,1.31712,0.86738,0.86157,0.88537,0.66281,0.94762,1.15597,1.41301,0.0256543,0.00855145,0.0256543,0.00855145,0.0256543,0.00855145,0.0256543,0.00855145
31,6285.58,0.96701,1.46852,1.30701,0.89505,0.86916,0.89429,0.66362,0.97125,1.13733,1.3923,0.0255045,0.0085015,0.0255045,0.0085015,0.0255045,0.0085015,0.0255045,0.0085015
32,6486.61,0.96586,1.44525,1.30289,0.88611,0.86723,0.8958,0.67458,0.91391,1.09136,1.42601,0.0253546,0.00845155,0.0253546,0.00845155,0.0253546,0.00845155,0.0253546,0.00845155
33,6687.5,0.97231,1.44824,1.31247,0.86269,0.8738,0.89086,0.6555,1.00991,1.14155,1.42853,0.0252048,0.0084016,0.0252048,0.0084016,0.0252048,0.0084016,0.0252048,0.0084016
34,6888.56,0.95259,1.38994,1.30194,0.87591,0.87624,0.89315,0.67096,0.93298,1.10488,1.39788,0.0250549,0.00835165,0.0250549,0.00835165,0.0250549,0.00835165,0.0250549,0.00835165
35,7089.56,0.95704,1.43268,1.29999,0.89978,0.85512,0.89442,0.67908,0.90995,1.0553,1.37658,0.0249051,0.0083017,0.0249051,0.0083017,0.0249051,0.0083017,0.0249051,0.0083017
36,7290.37,0.94885,1.40717,1.28957,0.88571,0.86912,0.88962,0.67376,0.91205,1.10393,1.39542,0.0247552,0.00825175,0.0247552,0.00825175,0.0247552,0.00825175,0.0247552,0.00825175
37,7491.4,0.95439,1.39997,1.28948,0.89105,0.86812,0.89646,0.67709,0.92664,1.07904,1.36955,0.0246054,0.0082018,0.0246054,0.0082018,0.0246054,0.0082018,0.0246054,0.0082018
38,7692.22,0.94577,1.40038,1.29013,0.87832,0.87885,0.90181,0.6754,0.95948,1.05509,1.38578,0.0244555,0.00815185,0.0244555,0.00815185,0.0244555,0.00815185,0.0244555,0.00815185
39,7893.51,0.9552,1.41815,1.29781,0.89254,0.87413,0.90885,0.68569,0.94095,1.02801,1.39474,0.0243057,0.0081019,0.0243057,0.0081019,0.0243057,0.0081019,0.0243057,0.0081019
