epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,14972.3,0.9303,0.64655,0.01229,0.89311,0.89721,0.93997,0.73189,0.87045,0.46053,0.01332,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954
33,15453.1,0.9148,0.64036,0.01203,0.90315,0.90975,0.95664,0.75874,0.84682,0.40687,0.01286,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888
34,15933.8,0.92477,0.62971,0.01214,0.89204,0.91325,0.9535,0.77072,0.78414,0.42499,0.01183,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
35,16418.8,0.91982,0.62473,0.01196,0.89793,0.90708,0.94407,0.77043,0.74007,0.42837,0.01121,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756
36,16901.5,0.91923,0.62943,0.01204,0.90797,0.91585,0.95849,0.77436,0.77099,0.39037,0.01156,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
37,17382.6,0.9122,0.61563,0.01192,0.90939,0.92034,0.95944,0.77842,0.73715,0.37814,0.01125,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
38,17867.2,0.9135,0.60798,0.01187,0.90379,0.91024,0.9573,0.75737,0.8312,0.40115,0.01252,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558
39,18350.3,0.89711,0.60938,0.01157,0.91296,0.91826,0.95624,0.76543,0.81202,0.3895,0.01217,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492
40,18839,0.90359,0.61863,0.01185,0.90447,0.92319,0.94913,0.76711,0.78596,0.39129,0.01192,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
41,19322.9,0.89468,0.60863,0.01161,0.91444,0.91463,0.96264,0.77592,0.80932,0.38804,0.01217,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
42,19805.2,0.88892,0.59976,0.01148,0.902,0.92698,0.95982,0.78005,0.77235,0.38567,0.01162,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294
43,20290.6,0.8905,0.57918,0.01151,0.91271,0.92093,0.96172,0.78425,0.76855,0.36743,0.01161,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
44,20773.7,0.88488,0.58872,0.01153,0.90048,0.91265,0.95538,0.77536,0.77126,0.40007,0.01161,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162
45,21257.3,0.88486,0.58155,0.01157,0.90856,0.92558,0.96222,0.78504,0.77944,0.37449,0.01173,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096
